2016PN880104,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2016-08-17 11:50,VERTICAL INTEGRATED,WATER,1,,47.2,,0.079,,0.57,,59.5,,0.005,,0.002,,20.9,,0.019,,0.125,,0.01,,0.09,,0.106,,1.23,,0.035,,0.01,L,0.001,,141,,0.06,,0.121,,5.5,,2.43,,0.775,,1.2,L,0.001,,,L,0.001,,0.892,,0.01,,0.19,,0.002,,260,L,0.01,,0.006,L,0.005,,0.4,,0.004,,0.421,,0.346,,0.137,,1.5,,0.2,,2170,,0.106,,1.65,,93.3,,0.111,,0.025,,23,,0.047,,2.61,,0.439,,2.83,,1.15,,3.41,,0.637,,0.05,,0.003,,2970,,1.23,,1.59,,7.74,,84.3,,0.903,,4.02,,0.046,,,L,0.001,,5.08,,0.58,,0.26,,0.019,,270,L,0.01,,0.043,,0.08,,20.1,,0.01,,0.506,,5.59,,1.16,,9.9,,1.1
2016PN880105,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2016-08-17 11:30,VERTICAL INTEGRATED,WATER,2,,59.8,,0.061,,0.54,,59.8,,0.005,,0.003,,13.8,,0.017,,0.138,,0.012,,0.13,,0.095,,1.35,,0.039,,0.01,L,0.001,,160,,0.07,,0.135,,4.91,,2.37,,0.72,,1.15,L,0.001,,,L,0.001,,0.807,,0.01,,0.17,,0.003,,250,L,0.01,,0.006,RANGEH,0.589,,0.5,,0.004,,0.408,,0.354,,0.144,L,0.2,,0.2,,2370,,0.102,,1.76,,97.3,,0.107,,0.026,,16.3,,0.05,,2.67,,0.468,,3.02,,1.19,,3.49,,0.679,,0.04,,0.003,,3150,,1.26,,1.72,,7.28,,78.7,,0.864,,4.17,,0.048,,,L,0.001,,5.22,,0.6,,0.26,,0.021,,260,L,0.01,,0.052,,0.075,,20.6,,0.01,,0.486,,5.96,,1.2,,10.4,,1.1
2016PN880106,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-08-17 10:05,TRIPLICATE SAMPLE,WATER,2.9,,44.8,,0.088,,0.63,,46,,0.008,,0.002,,25.6,,0.011,,0.147,,0.01,,0.1,,0.091,,0.89,,0.036,,0.01,L,0.001,,276,,0.079,,0.126,,6.19,,3.27,,0.585,,1.04,,0.001,,,L,0.001,,0.92,,0.01,,0.13,,0.002,,202,L,0.01,,0.005,L,0.005,,0.4,,0.004,,0.293,,0.395,,0.15,,0.5,,0.2,,1230,,0.071,,1.24,,63.9,,0.057,,0.014,,25.9,,0.027,,1.62,,0.253,,1.65,,0.697,,2.1,,0.366,,0.04,,0.002,,1970,,0.762,,0.957,,7.31,,54,,0.656,,2.71,,0.032,,,L,0.001,,3.38,,0.33,,0.17,,0.012,,204,L,0.01,,0.027,,0.044,,13.3,,0.011,,0.336,,3.43,,0.736,,5.5,,0.8
2016PN880107,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-08-17 10:10,TRIPLICATE SAMPLE,WATER,2.9,,45.5,,0.042,,0.63,,45.7,,0.008,,0.001,,25,,0.011,,0.145,,0.011,,0.1,,0.082,,0.87,,0.037,,0.01,L,0.001,,270,,0.076,,0.121,,6.23,,3.19,,0.572,,1.06,,0.001,,,L,0.001,,0.925,,0.02,,0.14,,0.002,,202,L,0.01,,0.004,L,0.005,,0.5,,0.004,,0.299,,0.384,,0.146,L,0.2,,0.2,,1660,,0.089,,1.49,,71.8,,0.092,,0.022,,26.4,,0.033,,2.26,,0.341,,2.08,,0.975,,2.92,,0.49,,0.05,,0.003,,2570,,1.05,,1.28,,7.77,,76.1,,0.686,,3.32,,0.041,,,L,0.001,,4.16,,0.43,,0.2,,0.015,,209,L,0.01,,0.036,,0.044,,17.2,,0.009,,0.355,,4.35,,0.99,,7.6,,0.9
2016PN880108,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-08-17 10:15,TRIPLICATE SAMPLE,WATER,2.9,,54.8,,0.042,,0.62,,45.7,,0.008,,0.002,,25.4,,0.01,,0.149,,0.011,,0.12,,0.088,,0.95,,0.039,,0.01,L,0.001,,283,,0.076,,0.127,,6.13,,3.27,,0.571,,1,,0.001,,,L,0.001,,0.931,,0.02,,0.15,,0.002,,202,L,0.01,,0.005,,0.007,,0.6,,0.004,,0.297,,0.412,,0.147,,1.9,,0.2,,1550,,0.068,,1.42,,70.6,,0.076,,0.018,,26.8,,0.033,,2.12,,0.331,,1.99,,0.912,,2.55,,0.458,,0.05,,0.001,,2520,,0.984,,1.24,,7.75,,73.7,,0.692,,3.2,,0.037,,,,0.001,,4,,0.38,,0.18,,0.016,,211,L,0.01,,0.036,,0.05,,15.8,,0.009,,0.355,,4.11,,0.949,,7.3,,0.9
2016PN880120,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2016-09-14 11:40,DISCRETE SAMPLE,WATER,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016PN880121,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 4 OF 10,AL07DD0002,56.71977778,-111.40467,2016-09-14 14:00,DISCRETE SAMPLE,WATER,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016PN880122,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2016-09-13 10:10,VERTICAL INTEGRATED,WATER,3.9,,36.8,,0.089,,0.71,,48.1,,0.01,,0.002,,25.8,,0.009,,0.237,,0.007,,0.09,,0.121,,1.14,,0.028,,0.01,L,0.001,,304,,0.13,,0.128,,7.18,,5.42,,0.868,,1.66,,0.001,,,L,0.001,,0.803,,0.05,,0.15,,0.001,,188,L,0.01,,0.005,L,0.005,,0.8,L,0.001,,0.315,,0.771,,0.265,,1,,0.3,,1060,,0.077,,1.41,,65.8,,0.07,,0.019,,29,,0.031,,2.57,,0.253,,1.65,,0.916,,2.53,,0.366,,0.06,,0.002,,2170,,1.24,,1.03,,8.2,,76.3,,0.955,,3.57,,0.045,,,L,0.001,,3.22,,0.39,,0.21,,0.014,,206,L,0.01,,0.026,,0.033,,18.8,,0.004,,0.377,,3.65,,1.08,,6.6,,1.3
2016PN880123,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.61150,2016-09-13 10:42,VERTICAL INTEGRATED,WATER,2.9,,39.5,,0.061,,0.7,,43.9,,0.012,,0.002,,21.5,,0.009,,0.305,,0.007,,0.11,,0.128,,1.24,,0.03,,0.01,L,0.001,,349,,0.155,,0.139,,5.71,,5.08,,0.512,,1.66,,0.002,,,,0.001,,0.859,,0.06,,0.13,L,0.001,,162,L,0.01,,0.005,L,0.005,,0.8,L,0.001,,0.269,,0.683,,0.285,,0.6,,0.3,,1460,,0.087,,1.68,,67.3,,0.098,,0.023,,23.2,,0.049,,4,,0.336,,2.3,,1.29,,3.09,,0.511,,0.08,,0.003,,3080,,1.9,,1.42,,7.11,,90,,0.612,,4.21,,0.063,,,L,0.001,,3.99,,0.59,,0.22,,0.018,,169,L,0.01,,0.035,,0.053,,27.2,,0.005,,0.374,,4.71,,1.61,,9.5,,1.6
2016PN880124,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 10 OF 10,AL07DD0009,57.21518,-111.60727,2016-09-13 11:00,VERTICAL INTEGRATED,WATER,2.2,,46.1,,0.051,,0.73,,38.4,,0.013,,0.001,,24.1,,0.009,,0.343,,0.008,,0.15,,0.142,,1.07,,0.03,L,0.01,L,0.001,,420,,0.175,,0.148,,5.91,,6.89,,0.407,,1.55,,0.002,,,,0.001,,0.907,,0.06,,0.11,,0.002,,140,L,0.01,,0.005,L,0.005,,0.9,L,0.001,,0.224,,0.691,,0.291,,0.5,,0.3,,1420,,0.07,,1.66,,58.8,,0.102,,0.022,,29,,0.038,,3.96,,0.33,,2.19,,1.18,,2.87,,0.499,,0.07,,0.003,,3010,,1.87,,1.33,,7.36,,89.4,,0.492,,3.9,,0.066,,,,0.002,,4.21,,0.55,,0.16,,0.015,,144,L,0.01,,0.031,,0.046,,27,,0.003,,0.32,,4.52,,1.49,,9,,1.6
2016PN880125,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.60403,2016-09-13 12:20,VERTICAL INTEGRATED,WATER,3.2,,31.8,,0.066,,0.68,,56.3,,0.012,L,0.001,,18.4,,0.012,,0.223,,0.007,,0.1,,0.126,,1.38,,0.027,,0.01,L,0.001,,226,,0.119,,0.125,,5.73,,4.13,,1.22,,1.82,,0.001,,,L,0.001,,0.825,,0.05,,0.18,,0.002,,210,L,0.01,,0.006,L,0.005,,0.7,L,0.001,,0.384,,0.909,,0.256,,0.6,,0.2,,1140,,0.088,,1.44,,75.3,,0.082,,0.02,,20.9,,0.038,,2.66,,0.26,,1.73,,0.973,,2.88,,0.378,,0.06,,0.002,,2140,,1.29,,1.11,,6.72,,69.1,,1.26,,3.71,,0.045,,,L,0.001,,3.31,,0.44,,0.24,,0.012,,227,L,0.01,,0.029,,0.045,,20.1,,0.006,,0.44,,3.97,,1.12,,7,,1.2
2016PN880126,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.60308,2016-09-13 12:42,VERTICAL INTEGRATED,WATER,3.5,,33.3,,0.062,,0.69,,49.5,,0.011,L,0.001,,19.8,,0.012,,0.26,,0.006,,0.13,,0.124,,1.08,,0.028,,0.01,L,0.001,,288,,0.139,,0.123,,5.69,,4.07,,0.602,,1.66,,0.001,,,L,0.001,,0.767,,0.05,,0.14,,0.002,,181,L,0.01,,0.004,L,0.005,,0.7,L,0.001,,0.317,,0.612,,0.282,,0.6,,0.3,,1320,,0.084,,1.6,,70.9,,0.09,,0.02,,20.8,,0.042,,3.26,,0.301,,2,,1.09,,2.89,,0.459,,0.06,,0.003,,2550,,1.56,,1.24,,6.87,,76.5,,0.703,,3.83,,0.057,,,L,0.001,,3.75,,0.47,,0.18,,0.014,,197,L,0.01,,0.033,,0.045,,23.9,,0.004,,0.399,,4.21,,1.32,,7.8,,1.5
2016PN880127,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.60003,2016-09-13 13:05,VERTICAL INTEGRATED,WATER,2.9,,40.1,,0.115,,0.7,,36.4,,0.011,,0.002,,23.2,,0.011,,0.354,,0.007,,0.14,,0.142,,1.04,,0.032,L,0.01,L,0.001,,433,,0.174,,0.156,,5.73,,7.23,,0.376,,1.58,,0.002,,,L,0.001,,0.912,,0.05,,0.11,,0.003,,135,L,0.01,,0.004,L,0.005,,0.9,L,0.001,,0.213,,0.703,,0.3,,1.1,,0.3,,1510,,0.072,,1.69,,58,,0.103,,0.025,,27.4,,0.031,,4.23,,0.35,,2.49,,1.26,,2.98,,0.557,,0.07,,0.004,,3210,,2,,1.42,,7.29,,90.7,,0.482,,3.9,,0.072,,,,0.001,,4.22,,0.56,,0.17,,0.015,,136,L,0.01,,0.034,,0.063,,29.1,,0.004,,0.326,,4.86,,1.61,,8.8,,1.9
2016PN880128,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2016-09-14 10:15,VERTICAL INTEGRATED,WATER,1,,36.6,,0.067,,0.71,,56,,0.011,L,0.001,,23.4,,0.013,,0.22,,0.008,,0.09,,0.128,,1.35,,0.031,,0.01,L,0.001,,240,,0.124,,0.122,,6.23,,3.58,,0.594,,1.75,,0.001,,,L,0.001,,0.857,,0.06,,0.15,,0.002,,215,L,0.01,,0.006,L,0.005,,0.7,L,0.001,,0.378,,0.551,,0.254,,0.8,,0.3,,1060,,0.095,,1.38,,74.8,,0.077,,0.016,,25.1,,0.037,,2.31,,0.237,,1.61,,0.877,,2.62,,0.36,,0.05,,0.002,,1930,,1.12,,1.01,,6.97,,62.7,,0.642,,3.59,,0.047,,,L,0.001,,3.1,,0.38,,0.2,,0.011,,225,L,0.01,,0.027,,0.044,,18.9,,0.006,,0.441,,3.29,,0.998,,6.9,,1.2
2016PN880129,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2016-09-14 10:52,VERTICAL INTEGRATED,WATER,2.3,,38.7,,0.065,,0.7,,59.3,,0.012,L,0.001,,15.8,,0.01,,0.24,,0.007,,0.07,,0.132,,1.3,,0.026,,0.01,L,0.001,,238,,0.131,,0.133,,5.51,,3.27,,0.622,,1.79,,0.001,,,L,0.001,,0.828,,0.04,,0.15,,0.002,,217,L,0.01,,0.005,L,0.005,,0.7,L,0.001,,0.376,,0.577,,0.277,,1,,0.3,,1090,,0.082,,1.37,,77.2,,0.071,,0.016,,19.1,,0.034,,2.43,,0.244,,1.61,,0.86,,2.65,,0.365,,0.05,,0.003,,1970,,1.18,,1.04,,6.36,,61.1,,0.676,,3.58,,0.045,,,,0.001,,3.05,,0.39,,0.23,,0.013,,219,L,0.01,,0.027,,0.046,,20.1,,0.002,,0.451,,3.35,,1.04,,6.7,,1.2
2016PN880130,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2016-09-14 11:10,VERTICAL INTEGRATED,WATER,3.3,,43.9,,0.08,,0.67,,24,,0.012,L,0.001,,27,,0.006,,0.355,,0.005,,0.21,,0.122,,0.67,,0.03,L,0.01,L,0.001,,541,,0.176,,0.131,,5.46,,7.6,,0.271,,1.23,,0.002,,,L,0.001,,0.962,,0.09,,0.08,,0.002,,93.1,L,0.01,,0.002,L,0.005,,1,L,0.001,,0.116,,0.702,,0.269,,0.9,,0.3,,1200,,0.056,,1.48,,40.3,,0.074,,0.025,,28.4,,0.033,,3.79,,0.271,,2.27,,1.07,,2.19,,0.441,,0.06,,0.003,,2900,,1.77,,1.16,,6.97,,93.1,,0.328,,3.2,,0.062,,,,0.001,,3.77,,0.49,,0.13,,0.012,,95.7,L,0.01,,0.027,,0.069,,25.2,,0.003,,0.208,,4.15,,1.37,,7.1,,1.5
2016PN880137,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.61150,2017-01-24 11:45,TRIPLICATE SAMPLE,WATER,3.1,,8.9,,0.074,,0.6,,77.3,,0.005,,0.002,,42,,0.018,,0.067,,0.005,,0.08,,0.068,,0.75,,0.019,,0.01,L,0.001,,309,,0.039,,0.044,,10.7,,8.82,,0.744,,1.19,,0.002,,,L,0.001,,1.69,,0.05,,0.17,,0.001,,330,L,0.01,,0.005,,0.015,,0.3,,0.003,,0.465,,0.51,,0.093,,1.6,,0.1,,40.2,,0.064,,0.61,,75.2,,0.006,,0.003,,37.4,,0.019,,0.141,,0.011,,0.13,,0.093,,0.81,,0.027,,0.01,L,0.001,,447,,0.078,,0.079,,10.8,,12.2,,0.712,,1.21,,0.004,,,L,0.001,,1.7,,0.05,,0.17,,0.001,,312,,0.01,,0.006,,0.028,,0.9,,0.003,,0.452,,0.624,,0.122,,1.4,,0.1
2016PN880138,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.61150,2017-01-24 11:50,TRIPLICATE SAMPLE,WATER,3.1,,10.1,,0.072,,0.62,,76.8,,0.003,,0.003,,38.8,,0.015,,0.062,,0.005,,0.09,,0.067,,0.82,,0.041,,0.01,L,0.001,,307,,0.038,,0.044,,10.9,,8.82,,0.727,,1.24,L,0.001,,,L,0.001,,1.66,,0.05,,0.16,,0.002,,316,L,0.01,,0.006,,0.012,,0.3,,0.002,,0.458,,0.678,,0.097,,1.7,,0.1,,40.2,,0.061,,0.61,,75.1,,0.006,,0.005,,37.9,,0.018,,0.147,,0.011,,0.17,,0.087,,0.78,,0.045,,0.01,L,0.001,,449,,0.079,,0.08,,11,,12.4,,0.711,,1.23,,0.002,,,L,0.001,,1.67,,0.06,,0.18,,0.002,,321,L,0.01,,0.006,,0.011,,0.9,,0.003,,0.444,,0.671,,0.128,,1.4,,0.1
2016PN880139,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.61150,2017-01-24 11:55,TRIPLICATE SAMPLE,WATER,3.1,,9,,0.122,,0.59,,75.7,,0.003,,0.002,,39.9,,0.01,,0.064,,0.005,,0.09,,0.064,,0.85,,0.047,,0.02,L,0.001,,310,,0.038,,0.041,,10.7,,8.26,,0.716,,1.18,L,0.001,,,L,0.001,,1.64,,0.05,,0.16,,0.001,,318,L,0.01,,0.006,,0.01,,0.3,,0.002,,0.458,,0.676,,0.09,,1.7,,0.1,,39.8,,0.064,,0.64,,77.1,,0.007,,0.001,,37.4,,0.017,,0.141,,0.012,,0.18,,0.096,,0.87,,0.045,,0.01,L,0.001,,449,,0.078,,0.076,,10.9,,12.8,,0.73,,1.3,L,0.001,,,L,0.001,,1.7,,0.06,,0.17,,0.002,,314,,0.01,,0.006,,0.009,,0.9,,0.004,,0.469,,0.689,,0.127,,1.4,,0.1
2016PN880140,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.60242,2017-01-24 15:25,VERTICAL INTEGRATED,WATER,1.9,,7.4,,0.067,,0.58,,71.5,,0.003,,0.002,,35.4,,0.013,,0.062,,0.005,,0.16,,0.059,,0.69,,0.048,,0.01,L,0.001,,288,,0.04,,0.04,,9.67,,6.84,,0.668,,1.12,L,0.001,,,L,0.001,,1.6,,0.04,,0.16,,0.001,,297,L,0.01,,0.004,,0.011,,0.2,,0.002,,0.418,,0.628,,0.085,,1.6,,0.1,,40.2,,0.06,,0.59,,71,,0.005,L,0.001,,32.5,,0.013,,0.14,,0.01,,0.26,,0.09,,0.75,,0.043,,0.01,L,0.001,,432,,0.073,,0.085,,9.37,,11.5,,0.657,,1.18,L,0.001,,,L,0.001,,1.63,,0.06,,0.14,,0.002,,297,,0.02,,0.006,,0.012,,0.9,,0.004,,0.413,,0.68,,0.117,,1.4,,0.1
2016PN880141,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.40447,2017-01-26 14:25,VERTICAL INTEGRATED,WATER,3.9,,7.3,,0.126,,0.64,,90,,0.003,L,0.001,,30.6,,0.028,,0.046,,0.007,,0.16,,0.06,,0.99,,0.047,,0.02,L,0.001,,158,,0.031,,0.059,,10,,1.86,,0.873,,1.4,L,0.001,,,L,0.001,,1.71,,0.04,,0.21,,0.002,,352,L,0.01,,0.006,,0.021,,0.2,,0.003,,0.561,,0.439,,0.09,,3.7,,0.1,,324,,0.098,,0.96,,97.9,,0.02,,0.007,,27.4,,0.039,,0.886,,0.086,,1.04,,0.329,,1.44,,0.129,,0.03,L,0.001,,887,,0.428,,0.441,,9.99,,22.8,,0.869,,2.04,,0.008,,,L,0.001,,2.46,,0.15,,0.23,,0.006,,347,L,0.01,,0.012,,0.043,,5.6,,0.007,,0.582,,1.42,,0.398,,6,,0.4
2016PN880147,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2017-01-25 13:25,VERTICAL INTEGRATED,WATER,1.7,,7.5,,0.073,,0.59,,65,,0.004,,0.001,,45.3,,0.011,,0.06,,0.005,RANGEH,0.62,,0.074,,0.74,,0.048,,0.01,L,0.001,,274,,0.04,,0.043,,11.5,,7.53,,0.686,,2.12,L,0.001,,,L,0.001,,1.41,,0.04,,0.15,L,0.001,,263,,0.01,,0.004,,0.008,,0.2,,0.002,,0.359,,0.594,,0.087,,1.5,,0.1,,61.1,,0.313,,0.65,,65.8,,0.005,,0.001,,42.3,,0.011,,0.201,,0.017,,0.86,,0.145,,0.93,,0.055,L,0.01,L,0.001,,497,,0.105,,0.123,,11.8,,18.6,,0.67,,2.23,L,0.001,,,L,0.001,,1.51,,0.06,,0.14,,0.001,,253,L,0.01,,0.005,,0.013,,1.2,,0.001,,0.364,,0.698,,0.139,,1.5,,0.2
2016PN880148,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2017-01-26 10:55,VERTICAL INTEGRATED,WATER,3.2,,8.4,,0.13,,0.67,,91.1,,0.002,,0.002,,32,,0.021,,0.047,,0.006,,0.1,,0.057,,1.04,,0.044,,0.01,L,0.001,,156,,0.033,,0.043,,9.92,,2.27,,0.878,,1.39,L,0.001,,,L,0.001,,1.74,,0.04,,0.2,,0.001,,364,,0.01,,0.005,,0.015,,0.2,,0.002,,0.565,,0.548,,0.09,,2.8,,0.1,,624,,0.114,,1.09,,103,,0.041,,0.012,,30.1,,0.045,,1.58,,0.143,,1.05,,0.593,,1.82,,0.221,,0.03,,0.001,,1450,,0.757,,0.618,,10.3,,54,,0.915,,2.43,,0.02,,,L,0.001,,3,,0.26,,0.22,,0.009,,349,L,0.01,,0.02,,0.051,,11,,0.008,,0.591,,2.13,,0.642,,6.9,,0.6
2016PN880149,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2017-01-26 11:30,VERTICAL INTEGRATED,WATER,2.1,,8,RANGEH,0.255,,0.65,,86.1,,0.001,L,0.001,,30.6,,0.03,,0.052,,0.005,,0.08,,0.055,,1.27,,0.051,,0.02,L,0.001,,190,,0.034,,0.042,,9.84,,2.57,,0.809,,1.27,L,0.001,,,L,0.001,,1.67,,0.04,,0.22,,0.001,,342,,0.01,,0.006,,0.012,,0.2,,0.002,,0.528,,0.567,,0.088,,5.3,,0.1,,429,,0.092,,0.98,,93.7,,0.027,,0.006,,30.9,,0.058,,1.07,,0.102,,0.72,,0.389,,1.4,,0.155,,0.03,L,0.001,,1100,,0.509,,0.432,,10.1,,39.6,,0.83,,1.96,,0.015,,,L,0.001,,2.59,,0.18,,0.21,,0.007,,336,,0.01,,0.015,,0.035,,7.5,,0.004,,0.565,,1.65,,0.448,,4.4,,0.5
2016PN880150,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2017-01-26 12:05,VERTICAL INTEGRATED,WATER,3.2,,10.1,,0.034,,0.4,,35.3,,0.002,L,0.001,,37.2,,0.008,,0.091,,0.003,,0.11,,0.043,,0.46,,0.054,,0.01,L,0.001,,526,,0.048,,0.034,,8.2,,13.4,,0.292,,0.61,L,0.001,,,L,0.001,,1.16,,0.06,,0.06,L,0.001,,163,L,0.01,,0.002,,0.019,,0.3,L,0.001,,0.157,,0.709,,0.078,,1.2,,0.1,,62.3,,0.146,,0.42,,35.6,,0.007,,0.001,,36.3,,0.005,,0.232,,0.013,,0.21,,0.098,,0.65,,0.043,,0.01,L,0.001,,768,,0.113,,0.085,,8.01,,23.1,,0.288,,0.73,L,0.001,,,L,0.001,,1.29,,0.07,,0.06,L,0.001,,160,L,0.01,,0.002,,0.012,,1.5,,0.002,,0.156,,0.611,,0.12,,1.4,,0.1
2016PN880153,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.61150,2017-02-14 10:45,VERTICAL INTEGRATED,WATER,2.7,,8.2,,0.066,,0.6,,72.5,,0.002,L,0.001,,38.3,,0.018,,0.052,,0.004,,0.1,,0.065,,0.66,,0.04,,0.01,L,0.001,,289,,0.033,,0.036,,10.4,,10.9,,0.715,,1.07,L,0.001,,,L,0.001,,1.48,,0.04,,0.17,,0.001,,312,,0.01,,0.005,,0.006,,0.2,L,0.001,,0.443,,0.578,,0.076,,1.9,,0.1,,41.6,,0.058,,0.61,,72.9,,0.004,L,0.001,,37.9,,0.022,,0.154,,0.012,,0.17,,0.091,,0.71,,0.043,,0.01,L,0.001,,424,,0.084,,0.073,,9.97,,14.5,,0.711,,1.11,L,0.001,,,L,0.001,,1.56,,0.06,,0.15,L,0.001,,312,L,0.01,,0.006,,0.008,,0.9,,0.003,,0.447,,0.698,,0.108,,1.7,,0.1
2016PN880154,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.60242,2017-02-14 12:25,VERTICAL INTEGRATED,WATER,1.6,,8.1,,0.062,,0.51,,68.1,,0.003,L,0.001,,32.7,,0.013,,0.052,,0.004,,0.09,,0.053,,0.64,,0.037,,0.02,L,0.001,,280,,0.033,,0.049,,9.26,,8.78,,0.657,,0.98,L,0.001,,,L,0.001,,1.43,,0.05,,0.15,,0.002,,291,L,0.01,,0.004,,0.005,,0.3,L,0.001,,0.402,,0.533,,0.073,,2.4,,0.1,,46.8,,0.093,,0.58,,68.5,,0.006,L,0.001,,33.1,,0.022,,0.153,,0.012,,0.19,,0.094,,0.75,,0.046,,0.01,L,0.001,,440,,0.083,,0.109,,9.08,,13.6,,0.657,,1.1,L,0.001,,,L,0.001,,1.54,,0.06,,0.16,,0.001,,280,L,0.01,,0.004,,0.012,,1.1,,0.005,,0.405,,0.62,,0.108,,2.6,,0.1
2016PN880155,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2017-02-16 10:00,VERTICAL INTEGRATED,WATER,2.9,,6.8,,0.051,,0.58,,86.7,,0.004,,0.001,,30.2,,0.02,,0.036,,0.007,,0.13,,0.049,,0.51,,0.019,,0.01,L,0.001,,121,,0.027,L,0.005,,9.81,,1.6,,0.893,,1.19,L,0.001,,,L,0.001,,1.63,,0.04,,0.2,L,0.001,,374,L,0.01,,0.007,L,0.005,L,0.1,,0.003,,0.578,,0.37,,0.077,,1.4,L,0.1,,51.9,,0.062,,0.72,,95.6,,0.015,,0.003,,31.3,,0.04,,0.692,,0.028,,0.18,,0.118,,1.02,,0.04,,0.02,L,0.001,,316,,0.325,,0.151,,9.93,,20.2,,0.883,,1.42,L,0.001,,,L,0.001,,1.81,,0.06,,0.24,,0.002,,371,L,0.01,,0.009,,0.008,,0.7,,0.006,,0.591,,0.507,,0.503,,4,,0.2
